"WKT","Idcko","Datum","Cas","denvtydnu","weekday","Nocden","daynight","Misto","Udalost","Incident","Vyrizeni","closing","Zdroj","Source","Y","X"
"POINT (16.65375477 49.2278546900001)","84095","2017/03/31","1899/12/30","Pátek","Friday","Noc","Night","Babicka-1a, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.22785469000","16.65375477000"
"POINT (16.51406654 49.24346265)","84103","2017/03/31","1899/12/30","Pátek","Friday","Noc","Night","Hrazni, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.24346265000","16.51406654000"
"POINT (16.6189198700001 49.2026523800001)","85061","2017/03/29","1899/12/30","Středa","Wednesday","Den","Day","Durdakova 2, Brno-Zabrdovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20265238000","16.61891987000"
"POINT (16.61596007 49.19979569)","85350","2017/03/29","1899/12/30","Středa","Wednesday","Den","Day","Pricni 20, Brno-Zabrdovice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19979569000","16.61596007000"
"POINT (16.6076818500001 49.1916932600001)","86020","2017/03/27","1899/12/30","Pondělí","Monday","Den","Day","Petrska 1, Brno","Pěší zóna - vjezd cyklistu","Pedestrian zone - cyclist entry","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19169326000","16.60768185000"
"POINT (16.54431004 49.18070734)","86270","2017/03/26","1899/12/30","Neděle","Sunday","Noc","Night","Chironova, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.18070734000","16.54431004000"
"POINT (16.54431004 49.18070734)","86272","2017/03/26","1899/12/30","Neděle","Sunday","Noc","Night","Chironova, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.18070734000","16.54431004000"
"POINT (16.65700687 49.2041688900001)","86516","2017/03/25","1899/12/30","Sobota","Saturday","Den","Day","Valticka 8, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20416889000","16.65700687000"
"POINT (16.6085399 49.19308456)","87040","2017/03/23","1899/12/30","Čtvrtek","Thursday","Noc","Night","Radnicka 8, Brno","Pěší zóna - vjezd cyklistu","Pedestrian zone - cyclist entry","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19308456000","16.60853990000"
"POINT (16.5804113500001 49.21134017)","87562","2017/03/22","1899/12/30","Středa","Wednesday","Noc","Night","serankova 25, Brno-zabovresky","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.21134017000","16.58041135000"
"POINT (16.60790423 49.1919706900001)","87762","2017/03/22","1899/12/30","Středa","Wednesday","Den","Day","Zelny trh 9, Brno","Pěší zóna - vjezd cyklistu","Pedestrian zone - cyclist entry","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19197069000","16.60790423000"
"POINT (16.6251249900001 49.20166894)","88575","2017/03/21","1899/12/30","Úterý","Tuesday","Den","Day","Pradlacka 10, Brno-Zabrdovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20166894000","16.62512499000"
"POINT (16.6187176500001 49.1986465900001)","88738","2017/03/20","1899/12/30","Pondělí","Monday","Noc","Night","Kornerova 7, Brno-Zabrdovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19864659000","16.61871765000"
"POINT (16.6109863500001 49.1993622900001)","88944","2017/03/20","1899/12/30","Pondělí","Monday","Den","Day","Koliste, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19936229000","16.61098635000"
"POINT (16.61142454 49.1905373600001)","89356","2017/03/19","1899/12/30","Neděle","Sunday","Noc","Night","Nadrazni 7, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19053736000","16.61142454000"
"POINT (16.62888409 49.207165)","89423","2017/03/19","1899/12/30","Neděle","Sunday","Den","Day","Husovicka 15, Brno-Husovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20716500000","16.62888409000"
"POINT (16.63822069 49.20484112)","89469","2017/03/19","1899/12/30","Neděle","Sunday","Den","Day","Kopernikova 17, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20484112000","16.63822069000"
"POINT (16.60417448 49.2085291700001)","89809","2017/03/17","1899/12/30","Pátek","Friday","Noc","Night","stefanikova 10, Brno-Ponava","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20852917000","16.60417448000"
"POINT (16.5975987300001 49.1788778900001)","90027","2017/03/17","1899/12/30","Pátek","Friday","Den","Day","Renneska trida 29, Brno-styrice","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.17887789000","16.59759873000"
"POINT (16.5635572300001 49.1724337800001)","90152","2017/03/16","1899/12/30","Čtvrtek","Thursday","Noc","Night","Labska 5, Brno-Stary Liskovec","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.17243378000","16.56355723000"
"POINT (16.5898505 49.2125330100001)","90221","2017/03/16","1899/12/30","Čtvrtek","Thursday","Den","Day","Tabor 26, Brno-zabovresky","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.21253301000","16.58985050000"
"POINT (16.64288041 49.1904996700001)","90933","2017/03/14","1899/12/30","Úterý","Tuesday","Noc","Night","Nezamyslova 28, Brno-zidenice","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19049967000","16.64288041000"
"POINT (16.5953794960001 49.1844141130001)","90934","2017/03/14","1899/12/30","Úterý","Tuesday","Noc","Night","Videňska 11, Brno-styrice","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.18441411350","16.59537949620"
"POINT (16.6354707900001 49.20115579)","91426","2017/03/13","1899/12/30","Pondělí","Monday","Den","Day","Bubenickova 2, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20115579000","16.63547079000"
"POINT (16.6155621300001 49.19647645)","93565","2017/03/08","1899/12/30","Středa","Wednesday","Den","Day","Koliste 49, Brno-Zabrdovice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19647645000","16.61556213000"
"POINT (16.61596007 49.19979569)","93591","2017/03/08","1899/12/30","Středa","Wednesday","Den","Day","Pricni 20, Brno-Zabrdovice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19979569000","16.61596007000"
"POINT (16.66312334 49.1841986200001)","94748","2017/03/05","1899/12/30","Neděle","Sunday","Noc","Night","Olomoucka, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.18419862000","16.66312334000"
"POINT (16.6313737900001 49.2015884)","95073","2017/03/04","1899/12/30","Sobota","Saturday","Noc","Night","Zabrdovicka, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20158840000","16.63137379000"
"POINT (16.6392467800001 49.20751204)","95456","2017/03/03","1899/12/30","Pátek","Friday","Den","Day","Skopalikova 27, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20751204000","16.63924678000"
"POINT (16.58781112 49.2104075)","97176","2017/02/27","1899/12/30","Pondělí","Monday","Noc","Night","Veveri 118, Brno-zabovresky","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.21040750000","16.58781112000"
"POINT (16.6056170200001 49.1938384700001)","99024","2017/02/23","1899/12/30","Čtvrtek","Thursday","Den","Day","Husova 12, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19383847000","16.60561702000"
"POINT (16.59752752 49.21968916)","99103","2017/02/22","1899/12/30","Středa","Wednesday","Noc","Night","Palackeho trida 26, Brno-Kralovo Pole","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.21968916000","16.59752752000"
"POINT (16.66578557 49.1830315)","99150","2017/02/22","1899/12/30","Středa","Wednesday","Den","Day","Olomoucka 182, Brno-Slatina","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.18303150000","16.66578557000"
"POINT (16.6076818500001 49.1916932600001)","99944","2017/02/21","1899/12/30","Úterý","Tuesday","Den","Day","Petrska 1, Brno","Pěší zóna - vjezd cyklistu","Pedestrian zone - cyclist entry","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19169326000","16.60768185000"
"POINT (16.68003846 49.18254712)","102090","2017/02/15","1899/12/30","Středa","Wednesday","Den","Day","Hviezdoslavova, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.18254712000","16.68003846000"
"POINT (16.62049024 49.1758702500001)","102111","2017/02/15","1899/12/30","Středa","Wednesday","Den","Day","Marianske namesti, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.17587025000","16.62049024000"
"POINT (16.6526603500001 49.1869713300001)","102409","2017/02/15","1899/12/30","Středa","Wednesday","Den","Day","Olomoucka 61, Brno-cernovice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.18697133000","16.65266035000"
"POINT (16.6339650100001 49.2011503100001)","103755","2017/02/11","1899/12/30","Sobota","Saturday","Den","Day","Zabrdovicka 22, Brno-Zabrdovice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20115031000","16.63396501000"
"POINT (16.56351604 49.1628962)","104184","2017/02/10","1899/12/30","Pátek","Friday","Den","Day","Psikalova, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.16289620000","16.56351604000"
"POINT (16.61142454 49.1905373600001)","105498","2017/02/07","1899/12/30","Úterý","Tuesday","Den","Day","Nadrazni 7, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19053736000","16.61142454000"
"POINT (16.61142454 49.1905373600001)","105499","2017/02/07","1899/12/30","Úterý","Tuesday","Den","Day","Nadrazni 7, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19053736000","16.61142454000"
"POINT (16.61495124 49.1955044800001)","106462","2017/02/05","1899/12/30","Neděle","Sunday","Noc","Night","Malinovskeho namesti 3, Brno","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19550448000","16.61495124000"
"POINT (16.61495124 49.1955044800001)","106463","2017/02/05","1899/12/30","Neděle","Sunday","Noc","Night","Malinovskeho namesti 3, Brno","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19550448000","16.61495124000"
"POINT (16.61590195 49.1910247800001)","107318","2017/02/01","1899/12/30","Středa","Wednesday","Den","Day","Benesova 15, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19102478000","16.61590195000"
"POINT (16.59314176 49.2201085500001)","107528","2017/01/30","1899/12/30","Pondělí","Monday","Noc","Night","Jungmannova 37, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.22010855000","16.59314176000"
"POINT (16.6055945200001 49.2049485700001)","107536","2017/01/30","1899/12/30","Pondělí","Monday","Den","Day","Lidicka 59, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20494857000","16.60559452000"
"POINT (16.61590195 49.1910247800001)","107801","2017/01/30","1899/12/30","Pondělí","Monday","Den","Day","Masarykova 29, Brno","Pěší zóna - vjezd cyklistu","Pedestrian zone - cyclist entry","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19102478000","16.61590195000"
"POINT (16.5735812200001 49.2150317700001)","109248","2017/01/25","1899/12/30","Středa","Wednesday","Den","Day","Blatneho 13, Brno-zabovresky","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.21503177000","16.57358122000"
"POINT (16.5812943650001 49.2240755390001)","109977","2017/01/23","1899/12/30","Pondělí","Monday","Noc","Night","Purkyňova 93, Brno-Kralovo Pole","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.22407553910","16.58129436540"
"POINT (16.60923941 49.1934877900001)","110327","2017/01/22","1899/12/30","Neděle","Sunday","Noc","Night","Masarykova 4, Brno","Pěší zóna - vjezd cyklistu","Pedestrian zone - cyclist entry","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19348779000","16.60923941000"
"POINT (16.63694731 49.2029823)","110639","2017/01/21","1899/12/30","Sobota","Saturday","Noc","Night","Bubenickova 1, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20298230000","16.63694731000"
"POINT (16.60739327 49.19160313)","111377","2017/01/18","1899/12/30","Středa","Wednesday","Den","Day","Petrska, Brno","Pěší zóna - vjezd cyklistu","Pedestrian zone - cyclist entry","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19160313000","16.60739327000"
"POINT (16.59499852 49.1888184700001)","111845","2017/01/17","1899/12/30","Úterý","Tuesday","Den","Day","Kridlovicka 32, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.18881847000","16.59499852000"
"POINT (16.6119809 49.19152703)","112358","2017/01/14","1899/12/30","Sobota","Saturday","Noc","Night","Nadrazni 4, Brno","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19152703000","16.61198090000"
"POINT (16.6130791 49.19117147)","114781","2017/01/04","1899/12/30","Středa","Wednesday","Noc","Night","Nadrazni 1, Brno","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19117147000","16.61307910000"
"POINT (16.59575891 49.2129163)","115066","2017/01/04","1899/12/30","Středa","Wednesday","Den","Day","Chodska 5, Brno-Ponava","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.21291630000","16.59575891000"
"POINT (16.6141167600001 49.1868161100001)","115312","2017/01/03","1899/12/30","Úterý","Tuesday","Den","Day","Trnita 24, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.18681611000","16.61411676000"
"POINT (16.6058312100001 49.19035496)","117734","2017/12/13","1899/12/30","Středa","Wednesday","Den","Day","Brno, Husova","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19035496000","16.60583121000"
"POINT (16.5840708 49.2252573100001)","118233","2017/12/12","1899/12/30","Úterý","Tuesday","Den","Day","Brno, cervinkova","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22525731000","16.58407080000"
"POINT (16.5840708 49.2252573100001)","118235","2017/12/12","1899/12/30","Úterý","Tuesday","Den","Day","Brno, cervinkova","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22525731000","16.58407080000"
"POINT (16.5185591600001 49.23019865)","118698","2017/12/10","1899/12/30","Neděle","Sunday","Den","Day","Brno, Pristavni","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.23019865000","16.51855916000"
"POINT (16.56838895 49.18022782)","126120","2017/11/15","1899/12/30","Středa","Wednesday","Den","Day","Brno, Netroufalky","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.18022782000","16.56838895000"
"POINT (16.63842521 49.1807828600001)","127632","2017/11/12","1899/12/30","Neděle","Sunday","Den","Day","Brno, Charbulova","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.18078286000","16.63842521000"
"POINT (16.6003975900001 49.2064418100001)","127724","2017/11/11","1899/12/30","Sobota","Saturday","Den","Day","Brno, Botanicka","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20644181000","16.60039759000"
"POINT (16.60044828 49.2017045200001)","128274","2017/11/09","1899/12/30","Čtvrtek","Thursday","Noc","Night","Brno, Pekarenska","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20170452000","16.60044828000"
"POINT (16.5140665370001 49.2434626510001)","129727","2017/11/06","1899/12/30","Pondělí","Monday","Den","Day","Brno, Hrazni","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.24346265150","16.51406653650"
"POINT (16.626217911 49.2038498160001)","130318","2017/11/05","1899/12/30","Neděle","Sunday","Noc","Night","Brno, Auerswaldova","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20384981590","16.62621791110"
"POINT (16.6047105060001 49.204036139)","131047","2017/11/02","1899/12/30","Čtvrtek","Thursday","Den","Day","Brno, Cihlarska","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20403613900","16.60471050650"
"POINT (16.620608191 49.198465651)","132874","2017/10/27","1899/12/30","Pátek","Friday","Noc","Night","Brno, Cejl","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19846565130","16.62060819070"
"POINT (16.589182151 49.2157950440001)","133513","2017/10/25","1899/12/30","Středa","Wednesday","Den","Day","Brno, Jana Babaka","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.21579504430","16.58918215110"
"POINT (16.644119027 49.178350564)","133943","2017/10/24","1899/12/30","Úterý","Tuesday","Noc","Night","Brno, Havrani","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.17835056370","16.64411902690"
"POINT (16.6049788330001 49.202102847)","135551","2017/10/19","1899/12/30","Čtvrtek","Thursday","Noc","Night","Brno, Antoninska","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20210284690","16.60497883250"
"POINT (16.590444151 49.2272336030001)","135603","2017/10/19","1899/12/30","Čtvrtek","Thursday","Den","Day","Brno, Bulharska","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22723360310","16.59044415100"
"POINT (16.612994024 49.1454478680001)","136367","2017/10/18","1899/12/30","Středa","Wednesday","Noc","Night","Brno, Moravanska","Průjezd na červenou - cyklista","Cyclist - ignoring traffic lights","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.14544786810","16.61299402390"
"POINT (16.590444151 49.2272336030001)","136521","2017/10/17","1899/12/30","Úterý","Tuesday","Den","Day","Brno, Bulharska","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22723360310","16.59044415100"
"POINT (16.6063448670001 49.199640458)","136633","2017/10/17","1899/12/30","Úterý","Tuesday","Den","Day","Brno, Moravske namesti","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19964045840","16.60634486700"
"POINT (16.6063448670001 49.199640458)","136924","2017/10/16","1899/12/30","Pondělí","Monday","Den","Day","Brno, Moravske namesti","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19964045840","16.60634486700"
"POINT (16.6063448670001 49.199640458)","136925","2017/10/16","1899/12/30","Pondělí","Monday","Den","Day","Brno, Moravske namesti","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19964045840","16.60634486700"
"POINT (16.637575176 49.2012119280001)","137329","2017/10/15","1899/12/30","Neděle","Sunday","Den","Day","Brno, Bubenickova","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20121192810","16.63757517580"
"POINT (16.639689021 49.2031766040001)","137391","2017/10/15","1899/12/30","Neděle","Sunday","Den","Day","Brno, Stara osada","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20317660430","16.63968902120"
"POINT (16.626053444 49.2347751090001)","137680","2017/10/13","1899/12/30","Pátek","Friday","Den","Day","Brno, Majdalenky","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.23477510900","16.62605344430"
"POINT (16.626053444 49.2347751090001)","137682","2017/10/13","1899/12/30","Pátek","Friday","Den","Day","Brno, Majdalenky","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.23477510900","16.62605344430"
"POINT (16.626647222 49.1904805560001)","138480","2017/10/11","1899/12/30","Středa","Wednesday","Noc","Night","Brno, Krenova","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19048055560","16.62664722220"
"POINT (16.6090289260001 49.1965164360001)","138545","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Brno, Behounska","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19651643600","16.60902892600"
"POINT (16.6090289260001 49.1965164360001)","138551","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Brno, Behounska","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19651643600","16.60902892600"
"POINT (16.6090289260001 49.1965164360001)","138552","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Brno, Behounska","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19651643600","16.60902892600"
"POINT (16.6090289260001 49.1965164360001)","138557","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Brno, Behounska","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19651643600","16.60902892600"
"POINT (16.6090289260001 49.1965164360001)","138566","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Brno, Behounska","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19651643600","16.60902892600"
"POINT (16.6063448670001 49.199640458)","138619","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Brno, Moravske namesti","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19964045840","16.60634486700"
"POINT (16.6063448670001 49.199640458)","138626","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Brno, Moravske namesti","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19964045840","16.60634486700"
"POINT (16.6063448670001 49.199640458)","138632","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Brno, Moravske namesti","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19964045840","16.60634486700"
"POINT (16.6340649140001 49.195130808)","138941","2017/10/11","1899/12/30","Středa","Wednesday","Noc","Night","Brno, samalova","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19513080820","16.63406491450"
